Name,xmi_id,CAM,LCAM,NHD,NumAttr,NumOps,NumPubOps,Setters,Getters,Nesting,IFImpl,NOC,NumDesc,NumAnc,DIT,CLD,OpsInh,AttrInh,Dep_Out,Dep_In,NumAssEl_ssc,NumAssEl_sb,NumAssEl_nsb,EC_Attr,IC_Attr,EC_Par,IC_Par,ObjInst,StimSent,StimRecv,StimSelf,ClassifInst,MsgSent,MsgRecv,MsgSelf,Diags
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.util.KeyBlock,EAID_B95C4655_3E4A_438f_AA66_24F11E83454C,0.41666666,0.5833334,0.5,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.util.Log,EAID_D9C813F3_F65F_4264_91DE_D63EDBCE0C00,0.37254903,0.62745094,0.6862745,1,34,34,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.util.MDBStats,EAID_90B9303B_E76F_47dc_BB82_FAD5066A3464,0.25,0.75,0.5,2,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.util.TimerStat,EAID_A9C0426E_4431_40c8_9AE5_E71CCE3C9E70,0.45454547,0.5454545,0.6121212,4,11,11,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.util.TradeConfig,EAID_30DE344A_3CBB_43db_B748_62B3B18A1A71,0.13714285,0.86285716,0.7996687,79,70,68,21,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.OrdersAlertFilter,EAID_AE429CFF_088A_46c3_BE51_08A58E435FC3,0.35,0.65,0.5,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.TestServlet,EAID_69E66FEC_BC5E_41b6_8098_901F273F17BE,0.6875,0.3125,0.625,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.TradeAppServlet,EAID_CAFAE4F2_0FD3_4dd4_A79F_D23A74A0C55F,0.34285715,0.6571429,0.54285717,1,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.TradeBuildDB,EAID_718EFA94_F4C1_467b_B0ED_C83D7C1BCE18,0.29166666,0.7083334,0.4722222,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.TradeConfigServlet,EAID_39726128_B997_43dc_87F0_F74D224675AF,0.64,0.36,0.64,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
