class_name,method_name,cluster
Cargo,assign To Route,cluster-4
Cargo,Cargo,cluster-4
Cargo,Cargo,cluster-4
Cargo,derive Delivery Progress,cluster-4
Cargo,equals,cluster-4
Cargo,get Delivery,cluster-4
Cargo,get Itinerary,cluster-4
Cargo,get Origin,cluster-4
Cargo,get Route Specification,cluster-4
Cargo,get Tracking Id,cluster-4
Cargo,hash Code,cluster-4
Cargo,same Identity As,cluster-4
Cargo,set Origin,cluster-4
Cargo,specify New Route,cluster-4
Cargo,to String,cluster-4
Delivery,calculate Current Voyage,cluster-1
Delivery,calculate Eta,cluster-1
Delivery,calculate Last Known Location,cluster-1
Delivery,calculate Misdirection Status,cluster-1
Delivery,calculate Next Expected Activity,cluster-1
Delivery,calculate Routing Status,cluster-1
Delivery,calculate Transport Status,cluster-1
Delivery,calculate Unloaded At Destination,cluster-1
Delivery,Delivery,cluster-1
Delivery,Delivery,cluster-1
Delivery,derived From,cluster-1
Delivery,equals,cluster-1
Delivery,get Calculated At,cluster-1
Delivery,get Current Voyage,cluster-1
Delivery,get Estimated Time Of Arrival,cluster-1
Delivery,get Last Known Location,cluster-1
Delivery,get Next Expected Activity,cluster-1
Delivery,get Routing Status,cluster-1
Delivery,get Transport Status,cluster-1
Delivery,hash Code,cluster-1
Delivery,is Misdirected,cluster-1
Delivery,is Unloaded At Destination,cluster-1
Delivery,on Track,cluster-1
Delivery,same Value As,cluster-1
Delivery,set Calculated At,cluster-1
Delivery,set Last Event,cluster-1
Delivery,set Last Known Location,cluster-1
Delivery,set Misdirected,cluster-1
Delivery,set Routing Status,cluster-1
Delivery,set Transport Status,cluster-1
Delivery,set Unloaded At Destination,cluster-1
Delivery,update On Routing,cluster-1
HandlingActivity,equals,cluster-0
HandlingActivity,get Location,cluster-0
HandlingActivity,get Type,cluster-0
HandlingActivity,get Voyage,cluster-0
HandlingActivity,Handling Activity,cluster-0
HandlingActivity,Handling Activity,cluster-0
HandlingActivity,Handling Activity,cluster-0
HandlingActivity,hash Code,cluster-0
HandlingActivity,is Empty,cluster-0
HandlingActivity,same Value As,cluster-0
