classname,CBO,IC,OC,CAM,NCO,DIT,RFC,LOC,NCA,xmi_id
daytrader.web.prims.PingCDIJSFBean,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,13.000000,2.000000,EAID_65B5CAD7_9B2F_43a1_A08A_DECE08693745
daytrader.web.prims.PingEJBLocal,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,12.000000,1.000000,EAID_8B126469_951A_4054_824F_BAC3BD2FD679
daytrader.web.prims.PingEJBLocalDecorator,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,17.000000,1.000000,EAID_D8B93725_019D_4e48_82E3_C4D77F5EA7F8
daytrader.web.prims.PingInterceptor,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,16.000000,1.000000,EAID_AC1E4E80_E6E5_4579_929D_CB1A85CCD7BF
daytrader.web.prims.PingJDBCRead,4.000000,0.000000,8.000000,0.450000,4.000000,0.000000,0.000000,59.000000,3.000000,EAID_E9324A1E_E19D_414a_AED8_346476C7F72A
daytrader.web.prims.PingJDBCRead2JSP,4.000000,0.000000,7.000000,0.450000,4.000000,0.000000,0.000000,48.000000,1.000000,EAID_3EEC374A_48EA_4f3d_B3B0_E85D9641C07D
daytrader.web.prims.PingJDBCWrite,4.000000,0.000000,9.000000,0.450000,4.000000,0.000000,0.000000,62.000000,3.000000,EAID_D4486816_0F8A_4a9d_84A6_24B9605BC5D8
daytrader.web.prims.PingJSONP,1.000000,0.000000,1.000000,0.450000,4.000000,0.000000,0.000000,78.000000,3.000000,EAID_9F444967_A27F_4a01_83A4_5DD0C710BD63
daytrader.web.prims.PingManagedExecutor,0.000000,0.000000,0.000000,0.450000,4.000000,0.000000,0.000000,58.000000,4.000000,EAID_C3D44558_079F_4c88_9E3F_D8D3CE80852D
daytrader.web.prims.PingManagedThread,1.000000,0.000000,1.000000,0.450000,4.000000,0.000000,0.000000,60.000000,4.000000,EAID_070E7905_3ED9_44e3_80B1_BD20BF9E09BE
daytrader.web.prims.PingReentryServlet,0.000000,0.000000,0.000000,0.450000,4.000000,0.000000,0.000000,77.000000,1.000000,EAID_527C18A0_6F5D_48e1_8AFD_590E7B41106F
daytrader.web.prims.PingServlet,1.000000,0.000000,1.000000,0.450000,4.000000,0.000000,0.000000,44.000000,3.000000,EAID_76DE1DDB_D06B_4e08_A28D_FD28D1F35542
daytrader.web.prims.PingServlet2DB,2.000000,0.000000,4.000000,0.450000,4.000000,0.000000,0.000000,50.000000,3.000000,EAID_110E1D30_FB97_4661_945D_7A654FA68061
daytrader.web.prims.PingServlet2Include,2.000000,0.000000,2.000000,0.666667,3.000000,0.000000,0.000000,43.000000,3.000000,EAID_38592E64_E5AF_42c4_AC4D_845468A95F3D
daytrader.web.prims.PingServlet2IncludeRcv,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,18.000000,1.000000,EAID_D8E96576_95FF_4105_A7B5_0BF2DF82AC68
daytrader.web.prims.PingServlet2JNDI,1.000000,0.000000,1.000000,0.450000,4.000000,0.000000,0.000000,47.000000,3.000000,EAID_C48676D4_BE1D_47be_9013_09C72DADA241
daytrader.web.prims.PingServlet2Jsp,2.000000,0.000000,4.000000,1.000000,2.000000,0.000000,0.000000,31.000000,2.000000,EAID_1A91BC5F_E5E8_4213_BAD1_B020252BF4A1
daytrader.web.prims.PingServlet2PDF,2.000000,0.000000,4.000000,1.000000,2.000000,0.000000,0.000000,58.000000,3.000000,EAID_85C1914D_AA5C_4b57_8A29_25C874DE1D65
daytrader.web.prims.PingServlet2Servlet,2.000000,0.000000,4.000000,1.000000,2.000000,0.000000,0.000000,31.000000,2.000000,EAID_09DBA08C_CBE1_4988_ABA8_D2DDBAB8FE13
daytrader.web.prims.PingServlet2ServletRcv,2.000000,0.000000,3.000000,0.666667,3.000000,0.000000,0.000000,39.000000,2.000000,EAID_FC7E7960_BE5A_4b92_A153_2D68DF7B23D8
daytrader.web.prims.PingServlet30Async,0.000000,0.000000,0.000000,0.450000,4.000000,0.000000,0.000000,50.000000,3.000000,EAID_ADCACC7F_0191_4ea5_B429_EF865F63EC5E
daytrader.web.prims.PingServlet31Async,0.000000,0.000000,0.000000,0.450000,4.000000,0.000000,0.000000,105.000000,3.000000,EAID_32A6C0E8_C5E6_4229_AFFC_9DA9C375D03C
daytrader.web.prims.PingServlet31AsyncRead,0.000000,0.000000,0.000000,0.450000,4.000000,0.000000,0.000000,71.000000,3.000000,EAID_1F885434_D2BC_49f7_9FBF_3B03DBEC440F
daytrader.web.prims.PingServletCDI,1.000000,0.000000,2.000000,0.625000,2.000000,0.000000,0.000000,37.000000,4.000000,EAID_46E92C8A_2C45_45d2_B92E_3403036C57AB
daytrader.web.prims.PingServletCDIBeanManagerViaCDICurrent,1.000000,0.000000,2.000000,0.625000,2.000000,0.000000,0.000000,37.000000,3.000000,EAID_CBC96942_E290_466d_A7BE_70606FACA955
daytrader.web.prims.PingServletCDIBeanManagerViaJNDI,1.000000,0.000000,2.000000,0.625000,2.000000,0.000000,0.000000,37.000000,3.000000,EAID_7972747C_1339_46bb_8E4A_0A376AF5BFD2
daytrader.web.prims.PingServletLargeContentLength,0.000000,0.000000,0.000000,0.450000,4.000000,0.000000,0.000000,27.000000,1.000000,EAID_792C113C_EF36_4606_A540_34E6DE1069BC
daytrader.web.prims.PingServletSetContentLength,1.000000,0.000000,1.000000,0.450000,4.000000,0.000000,0.000000,52.000000,1.000000,EAID_1A82993A_4511_468e_8A6D_2EFDE9C52788
