class_name,method_name,cluster
HandlingEventFactory,create Handling Event,cluster-0
HandlingEventFactory,find Cargo,cluster-0
HandlingEventFactory,find Location,cluster-0
HandlingEventFactory,find Voyage,cluster-0
HandlingHistory,equals,cluster-0
HandlingHistory,get All Handling Events,cluster-0
HandlingHistory,get Distinct Events By Completion Time,cluster-0
HandlingHistory,get Most Recently Completed Event,cluster-0
HandlingHistory,Handling History,cluster-0
HandlingHistory,hash Code,cluster-0
HandlingHistory,same Value As,cluster-0
TrackingId,equals,cluster-0
TrackingId,get Id String,cluster-0
TrackingId,hash Code,cluster-0
TrackingId,same Value As,cluster-0
TrackingId,to String,cluster-0
TrackingId,Tracking Id,cluster-0
TrackingId,Tracking Id,cluster-0
Cargo,assign To Route,cluster-2
Cargo,Cargo,cluster-2
Cargo,Cargo,cluster-2
Cargo,derive Delivery Progress,cluster-2
Cargo,equals,cluster-2
Cargo,get Delivery,cluster-2
Cargo,get Itinerary,cluster-2
Cargo,get Origin,cluster-2
Cargo,get Route Specification,cluster-2
Cargo,get Tracking Id,cluster-2
Cargo,hash Code,cluster-2
Cargo,same Identity As,cluster-2
Cargo,set Origin,cluster-2
Cargo,specify New Route,cluster-2
Cargo,to String,cluster-2
Delivery,calculate Current Voyage,cluster-6
Delivery,calculate Eta,cluster-6
Delivery,calculate Last Known Location,cluster-6
Delivery,calculate Misdirection Status,cluster-6
Delivery,calculate Next Expected Activity,cluster-6
Delivery,calculate Routing Status,cluster-6
Delivery,calculate Transport Status,cluster-6
Delivery,calculate Unloaded At Destination,cluster-6
Delivery,Delivery,cluster-6
Delivery,Delivery,cluster-6
Delivery,derived From,cluster-6
Delivery,equals,cluster-6
Delivery,get Calculated At,cluster-6
Delivery,get Current Voyage,cluster-6
Delivery,get Estimated Time Of Arrival,cluster-6
Delivery,get Last Known Location,cluster-6
Delivery,get Next Expected Activity,cluster-6
Delivery,get Routing Status,cluster-6
Delivery,get Transport Status,cluster-6
Delivery,hash Code,cluster-6
Delivery,is Misdirected,cluster-6
Delivery,is Unloaded At Destination,cluster-6
Delivery,on Track,cluster-6
Delivery,same Value As,cluster-6
Delivery,set Calculated At,cluster-6
Delivery,set Last Event,cluster-6
Delivery,set Last Known Location,cluster-6
Delivery,set Misdirected,cluster-6
Delivery,set Routing Status,cluster-6
